TRIBURG / / /,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SIZE SET INSPECTION REPORT,,,,,,,,,,,,,,,,,,,
STYLE NO:,7122,,,,DIVISION:,American Eagle,,,,,DATE :,,10th of September,,,,,,
,,,,,,,,,,,,,,,,,,,
DESCRIPTION:,smocked button through,,,,,,,,,,COLOUR:,,beige and burgundy,,,,,,
,,,,,,,,,,,,,,,,,,,
ACCESSORIES,MIS,ALT,ACT,PLA,ACCESSORIES,MIS,ALT,ACT,PLA,ACCESSORIES,MIS,ALT,ACT,PLA,,MIS,ALT,ACT,PLA
MAIN LABEL,,,X,,POLYBAG,,,,,BUTTON,,,X,,PRINT,,,,
BOOK FOLD,,,,,POLY BAG STICKER,,,,,HOOK EYE/BAR,,,,,LAYOUT,,,X,
FCTY CODE,,,,,LOT STICKER,,,,,LACE,,,,,EMB  THREAD COLOR,,,,
HANG TAG,,,,,PRE PACK STICKER,,,,,BUCKLE,,,,,PLACEMENT,,,X,
HANGER,,,,,CARTON MARKINGS,,,,,SNAP,,,,,BEADS/SEQUINS,,,,
WASHCARE,,X,,,PLACEMENT UPC/P.PACK,,,,,THREAD,,,X,,BEADS/SEQUINS LAYOUT,,,,
INTERLINING,,,,,FOLDING,,,,,LINING,,,,,AFTER TREATMENT,,,X,
,,,,,SPARE BUTTON POSITION,,,,,ZIPPER,,,,,PH,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PATTERN CHECK LIST,,,,,,,,,,,MEASUREMENT (SPEC ATTACHED),,,,,,,,
GRAIN LINE,,,,:,OK,,,,,,RESULT             :  (         ) PASS     (      ) FAIL CONDITIONALLY  ->  PASS,,,,,,,,
NOTCHES,,,,:,Not OK – armhole notches missing; add and show again,,,,,,GRADED NEST :   (      ) OK           (      ) NOT OK  ->  OK,,,,,,,,
GRADED NEST,,,,:,OK,,,,,,CORRECTIONS TO BE DONE :-,,,,,,,,
CORRECTIONS  IMPLEMNTED,,,,:,OK – no correction required as GT is approved for bulk,,,,,,Add 1/8 inch in length pattern,,,,,,,,
YY/ MINI MARKER,,,,:,,,,,,,add missing armhole notches,,,,,,,,
,,,,,,,,,,,follow marking for last button position,,,,,,,,
PLANNED SIZE SET SUBMISSION DATE:,,,,,10th of September,,,,,,,,,,,,,,
ACTUAL SUBMISSION DATE,,,,:,10th of September,,,,,,,,,,,,,,
PCD,,,,:,11th of September,,,,,,,,,,,,,,
CUT QUANTITY,,,,:,"4 pieces – S, M, L and XL; 1 piece per size",,,,,,,,,,,,,,
SIZE SET INSPECTION RESULT,,,,:,Pass with comment,,,,,,CUTTING CHECK                                 :      (      ) OK         (     ) NOT OK  ->  OK,,,,,,,,
,,,,,,,,,,,SEAM ALLOWANCE                           :     (       ) OK         (     ) NOT OK  ->  OK,,,,,,,,
,,,,,,,,,,,CORRECTIONS IMPLEMENTED :     (     ) OK         (      ) NOT OK  ->  OK,,,,,,,,
SHRINKAGE,,,,:,L = 0%  W = 0%,,,,,,,,,,,,,,
DETAILED COMMENTS,,,,,,,,,,,,,,ACTION TO BE TAKEN BY VENDOR,,,,,
,,,,,,,,,,,,,,,,,,,
(1) Armhole notches missing.,,,,,,,,,,,,,,Add notches and show again.,,,,,
(2) Joint stitch not acceptable; allowances slightly more.,,,,,,,,,,,,,,Follow guide and maintain correct allowances.,,,,,
(3) Last button position is on minus side in all sizes.,,,,,,,,,,,,,,Follow marking while attaching buttons and achieve required spec.,,,,,
(4) Length is on minus side.,,,,,,,,,,,,,,Add 1/8 inch in the pattern.,,,,,
(5) Smocking rows are slightly tilted and spacing is uneven.,,,,,,,,,,,,,,"Keep rows straight, horizontal, evenly spaced and aligned.",,,,,
(6) Neck and sleeve ruffle width is slightly uneven.,,,,,,,,,,,,,,Take even allowances and maintain exposed ruffle to required spec.,,,,,
(7) Uncut thread and fraying at sleeve inseam.,,,,,,,,,,,,,,Trim all uncut threads and maintain correct allowances.,,,,,
(8) Plaid horizontal lines at both sides of center-front placket are unbalanced.,,,,,,,,,,,,,,Balance and align lines on both sides; do not allow waviness.,,,,,
(9) Shearing along sleeve head is uneven.,,,,,,,,,,,,,,Follow notches to distribute shearing evenly.,,,,,
(10) Stitch may crack while stretching.,,,,,,,,,,,,,,Maintain correct tension.,,,,,
(11) Garment shape must be maintained during steaming.,,,,,,,,,,,,,,Follow jump-size marking on each pressing table.,,,,,
(12) Smocking defects or broken stitches are not to be locally altered.,,,,,,,,,,,,,,Check panels inside out; open the complete smocking row and redo it.,,,,,
(13) Neckline shape may become distorted or unbalanced.,,,,,,,,,,,,,,Use pattern cardboard and balance left and right from center front.,,,,,
(14) Center-front placket and main label must be aligned.,,,,,,,,,,,,,,Add extra checkpoints to prevent misalignment.,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
I AGREE WITH THE ABOVE COMMENTS AND WILL INCORPORATE ALL ABOVE COMMENTS                                                                                                                                                                                                                                                            VENDOR'S SIGNATURE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
VENDOR'S SIGNATURE,,,,,SENT VIA MAIL,,,,,,,,,,,,,,
