no,section,size,field,value,deviation,note,confidence,needs_review
1,marker,,YY shell,1.45 meter,,,1.00,
2,marker,,Locker loop,0.003 meter,,,0.90,
3,marker,,Pocket trim,0.01 meter,,,1.00,
4,shrinkage,,Pattern shrinkage length,1 1/2%,,all four colors,1.00,
5,shrinkage,,Pattern shrinkage width,+3%,,all four colors,1.00,
6,measurement,,Front length from HPS,26,+1/8,,1.00,
7,measurement,,Back length from HPS,26 1/4,+1/8,,1.00,
8,measurement,,Shoulder slope from HPS,1 7/8,+1/8,,1.00,
9,measurement,,Shoulder seam forward at neck,1/2,,,1.00,
10,measurement,,Shoulder seam forward at armhole,3/4,,,1.00,
11,measurement,,Across shoulder seam to seam,17 3/4,+1/4,,1.00,
12,measurement,,Across front position from HPS,5,,,0.90,
13,measurement,,Across front seam to seam,16 1/4,+1/4,,1.00,
14,measurement,,Across back at yoke seam,17,+1/4,,1.00,
15,measurement,,"Chest one inch below armhole, pleat extended",45,+1/2,,1.00,
16,measurement,,Bottom opening straight above side seam,45,±1/8,,0.80,yes
17,measurement,,Front side seam height,4 3/4,+1/8,,1.00,
18,measurement,,Back side seam height,4,+1/8,,1.00,
19,measurement,,"Bottom hem height, self turn",1/4,,,1.00,
20,measurement,,Sleeve length from center back long,32 1/2,-1/4,,1.00,
21,measurement,,Sleeve cap height,5 3/4,+1/4,,1.00,
22,measurement,,Armhole straight,8 7/8,,,1.00,
23,measurement,,Muscles one inch from underarm,15 1/4,,,1.00,
24,measurement,,"Elbow, ten inches from cuff",13 1/4,,,0.90,
25,measurement,,"Sleeve opening, L oblique S at H",8 1/2,,,0.80,yes
26,measurement,,Sleeve cuff height,2 1/2,,,1.00,
27,measurement,,Sleeve placket opening length,4 1/2,-1/8,,1.00,
28,measurement,,Placket width,3/4,,,1.00,
29,measurement,,Front neck drop from HPS,3,+1,,0.90,
30,measurement,,Back neck drop from HPS to C,3/4,1/8,Initially called okay; later reconfirmed as 1/8 deviation,0.60,yes
31,measurement,,Back neck width seam to seam,5 3/4,1/8,Initially called minus 1/8; later stated 1/8 without direction,0.55,yes
32,measurement,,Neck band height at center,1 1/8,,,1.00,
33,measurement,,Collar point,2 1/4,-1/8,Wording around tolerance was garbled,0.75,yes
34,measurement,,Collar length at outer edge,15 3/4,-1/4,,1.00,
35,measurement,,Locker loop width,3/8,-1/8,,1.00,
36,measurement,,Locker loop grade,2,,,0.90,
37,measurement,,Collar height at center back,2,,,1.00,
38,measurement,,Center front placket,1,,,1.00,
39,measurement,,"Button position from neck, first button",3,,Deviation not stated,0.90,
40,measurement,,Button position from bottom edge,1/4,,,1.00,
41,measurement,,Center back yoke box pleat width,1/2,,Deviation not stated,0.90,
42,measurement,,Chest pocket length at center,5 1/4,,Deviation not stated,0.90,
43,measurement,,Pocket position,8 3/4,,Reference point was unclear; deviation called okay,0.65,yes
44,measurement,,Pocket position from center front,1 1/8,,Recording ends before deviation is confirmed,0.80,yes
45,construction,,Overlock grade,,,Approved PP sample has 6th grade at side seam and armhole; updated tech pack has 5th grade,0.90,
46,construction,,Pocket shape,,,poor,1.00,
47,construction,,Cord at pocket,,,tight,1.00,
48,construction,,Collar point shape,,,poor,1.00,
49,construction,,Tie space shape at overlapping area,,,poor,0.80,yes
50,construction,,Space stitch,,,"visible at cuff, placket slit and collar",0.85,
51,construction,,Body stripe,,,wavy while pocket attached,1.00,
52,construction,,Top stitch and placket,,,top stitch uneven; placket bumping and wavy,1.00,
53,construction,,Hand feel,,,slightly harsh,1.00,
54,construction,,Plaid matching,,,"uneven at right back yoke, placket and collar",1.00,
