no,section,size,field,value,deviation,note,confidence,needs_review
1,marker,,Shell YY,1.45 meter,,,1.00,
2,marker,,Locker loop consumption,0.003 meter,,,0.95,
3,marker,,Pocket trim consumption,0.01 meter,,,1.00,
4,shrinkage,,Pattern shrinkage length,1 1/2%,,all four colors,1.00,
5,shrinkage,,Pattern shrinkage width,+3%,,all four colors,1.00,
6,construction,,Overlock grade,,,Approved PP sample has 6-thread overlock at side seam and armhole; updated tech pack states 5-thread,0.90,
7,comment,,Pocket shape,,,Poor shape; correct pocket shape,1.00,
8,comment,,Pocket cord,,,Cord tight; loosen it,1.00,
9,comment,,Collar point shape,,,Poor shape; correct it,1.00,
10,comment,,Tie-space shape,,,Poor shape with overlap; correct it,0.75,yes
11,comment,,Locker loop measurement,,,Found minus; bring back to spec,1.00,
12,comment,,Skip stitch,,,"Visible at cuff, placket slit and collar; remove",0.95,
13,comment,,Body stripe,,,Wavy while pocket attached; keep straight,1.00,
14,comment,,Topstitch and placket,,,Uneven topstitch and bumping/wavy placket; correct,1.00,
15,comment,,Hand feel,,,Slightly harsh; improve,1.00,
16,comment,,Plaid matching,,,"Uneven at right back yoke, placket and collar; correct",1.00,
17,measurement,,Front length from HPS,26,+1/8,,1.00,
18,measurement,,Back length from HPS,26 1/4,+1/8,,1.00,
19,measurement,,Shoulder slope from HPS,1 7/8,+1/8,,1.00,
20,measurement,,Shoulder seam forward at neck,1/2,,,1.00,
21,measurement,,Shoulder seam forward at armhole,3/4,,,1.00,
22,measurement,,Across shoulder seam to seam,17 3/4,+1/4,,1.00,
23,measurement,,Across front position from HPS,5,,,0.95,
24,measurement,,Across front seam to seam,16 1/4,+1/4,,1.00,
25,measurement,,Across back at yoke seam,17,+1/4,,1.00,
26,measurement,,"Chest 1 inch below armhole, pleat extended",45,+1/2,,1.00,
27,measurement,,Bottom opening straight above side seam,45,±1/8,Deviation was spoken as plus/minus 1/8,0.65,yes
28,measurement,,Front side seam height,4 3/4,+1/8,,1.00,
29,measurement,,Back side seam height,4,+1/8,,1.00,
30,measurement,,"Bottom hem height, self turn",1/4,,,1.00,
31,measurement,,Sleeve length from center back long,32 1/2,-1/4,,1.00,
32,measurement,,Sleeve cap height,5 3/4,+1/4,,1.00,
33,measurement,,Armhole straight,8 7/8,,,1.00,
34,measurement,,Muscles 1 inch from underarm,15 1/4,,,1.00,
35,measurement,,Elbow position from cuff,13 1/4,,Speaker also said 'ten' before stating the required measurement,0.62,yes
36,measurement,,"Sleeve opening, L oblique S at H",8 1/2,,,0.85,
37,measurement,,Sleeve cuff height,2 1/2,,,1.00,
38,measurement,,Sleeve placket opening length,4 1/2,-1/8,,1.00,
39,measurement,,Placket width,3/4,,,1.00,
40,measurement,,Front neck drop from HPS,3,+1,,0.90,
41,measurement,,Back neck drop from HPS to C,3/4,1/8,Initially stated as -1/8; repeated without a sign,0.55,yes
42,measurement,,Back neck width seam to seam,5 3/4,1/8,Tolerance wording was garbled and deviation sign was not stated,0.65,yes
43,measurement,,Neck band height at center,1 1/8,,,1.00,
44,measurement,,Collar point,2 1/4,-1/8,,0.95,
45,measurement,,Collar length at outer edge,15 3/4,-1/4,,1.00,
46,measurement,,Locker loop width,3/8,-1/8,,1.00,
47,measurement,,Locker loop grade,2,,,0.80,yes
48,measurement,,Collar height at center back,2,,,1.00,
49,measurement,,Center front placket,1,,,1.00,
50,measurement,,Button position from neck to first button,3,,Deviation was not stated,0.95,
51,measurement,,Button position from bottom edge,1/4,,,1.00,
52,measurement,,Center back yoke box pleat width,1 1/2,,Deviation was not stated,0.95,
53,measurement,,Chest pocket length at center,5 1/4,,Deviation was not stated,1.00,
54,measurement,,Pocket position from HPS,8 3/4,,,1.00,
