no,size,pom,description,spoken_as,heard,spec,measured,deviation,tol_minus,tol_plus,verdict,confidence,note
5,XS,4.05A,WAISTBAND HEIGHT,Waistband height,1 1/4,1 1/4,1 1/4,ok,-1/8,+1/8,pass,1.00,
6,XS,4.05A,WAISTBAND ELASTIC HEIGHT,Waistband elastic height,1 3/8,1 3/8,1 3/8,ok,-1/8,+1/8,pass,1.00,
7,XS,4.04A,WAIST RELAXED @ TOP EDGE,Waist relaxed at top,26 3/4,26 3/4,26 3/4,ok,-3/4,+3/4,pass,1.00,
8,XS,4.02A,WAIST EXTENDED @ TOP EDGE MINIMUM,Waist extended at top edge minimum,39,39,39,ok,-3/4,+3/4,pass,1.00,
9,XS,4.09B,LOW HIP PLACEMENT FROM TOP WAIST,Low hip placement from top,5 1/4,5 1/4,5 1/4,,0,0,UNCONFIRMED,0.95,
10,XS,4.10B,3 POINT LOW HIP,Three point low hip,40 1/2,40 1/2,40 3/4,+1/4,-3/4,+3/4,pass,1.00,
11,XS,4.14A,FRONT RISE STRAIGHT TO TOP WAIST,Front rise straight to top waist,9 3/4,9 3/4,8 3/4,-1,-1/4,+1/4,FAIL,0.58,Fraction may have been dropped in transcription
12,XS,4.15A,BACK RISE STRAIGHT TO TOP WAIST,Back rise straight to top waist,15,15,14,-1,-1/4,+1/4,FAIL,0.58,Fraction may have been dropped in transcription
13,XS,5.08C,SHORT LEG OPENING,Short leg opening,27,27,27,ok,-3/8,+3/8,pass,1.00,
14,XS,5.01A,INSEAM SHORT,Inseam short,2 1/2,2 1/2,2 1/2,ok,-1/4,+1/4,pass,1.00,
15,XS,5.02A,OUTSEAM FROM TOP WAIST,Outseam from top waist,10 5/8,10 5/8,10 3/4,+1/8,-1/4,+1/4,pass,0.95,"Initially called okay, then corrected to plus 1/8"
16,XS,7.01A GR,FLY/J-STITCH LENGTH BELOW WAIST SEAM,Fly J-stitch length below waist seam,4 1/4,4 1/4,4 1/4,ok,-1/4,+1/4,pass,1.00,
17,XS,7.01B,FLY /J-STITCH WIDTH,Fly J-stitch width,1 1/8,1 1/8,1 3/16,+1/16,-1/8,+1/8,pass,0.95,"Inspector started to say minus, then corrected to plus"
18,XS,4.27A,HEM HEIGHT,Hem height,1/2,1/2,1/2,ok,-1/8,+1/8,pass,1.00,
19,XS,*,"FRT LEG DEPTH 3"" FRM CF (TOP EDGE) RELAXED",Front leg depth from center front top edge relaxed,10 7/8,10 7/8,10 7/8,ok,-1/8,+1/8,pass,1.00,
20,XS,*,"BK LEG DEPTH 3"" FRM CB (TOP EDGE) RELAXED",Back leg depth from center back top edge relaxed,12 1/8,12 1/8,12,-1/8,-1/8,+1/8,pass,0.62,Deviation sounded like 'down by eight'
21,XS,*,"SADDLE WIDTH 2"" UP FRM CROTCH - REF PT FOR NY TECH",Saddle width two inches up from crotch reference point,8,8,8,ok,-1/8,+1/8,pass,1.00,
22,XS,*,BUTTON SPACE ON FLY FRONT,Button space on fly front,1 3/4,1 3/4,1 3/4,ok,-1/8,+1/8,pass,1.00,
23,XS,7.04B,BUTTON POSITION FROM WAIST STITCH,Button position from waist seam,1 1/4,1 1/4,1 1/8,-1/8,-1/8,+1/8,pass,1.00,
24,XS,6.05B,ON SEAM POCKET HEM HEIGHT,On-seam pocket hem height,1/4,1/4,1/4,ok,-1/8,+1/8,pass,0.95,
25,XS,6.54A,POCKET POSITION FROM BELOW WAIST STITCH,Pocket position from below waist seam,1,1,1,ok,-1/8,+1/8,pass,1.00,
26,XS,6.14A GR,POCKET OPENING LENGTH,Pocket opening length,5 1/2,5 1/2,5 1/2,ok,-1/8,+1/8,pass,1.00,
27,XS,6.17A GR,POCKET BAG LENGTH,Pocket bag length,8 5/8,8 5/8,8 3/8,-1/4,-1/4,+1/4,pass,1.00,
28,XS,6.17B GR,POCKET BAG WIDTH,Pocket bag width,6 1/8,6 1/8,6 1/8,ok,-1/4,+1/4,pass,1.00,
29,S,4.05A,WAISTBAND HEIGHT,Waistband height,1 1/4,1 1/4,1 1/4,ok,-1/8,+1/8,pass,1.00,
30,S,4.05A,WAISTBAND ELASTIC HEIGHT,Waistband elastic height,1 3/8,1 3/8,1 3/8,ok,-1/8,+1/8,pass,1.00,
31,S,4.04A,WAIST RELAXED @ TOP EDGE,Waist relaxed at top,28 3/4,28 3/4,28 3/4,,-3/4,+3/4,UNCONFIRMED,0.95,
32,S,4.02A,WAIST EXTENDED @ TOP EDGE MINIMUM,Waist extended at top edge minimum,41,41,41,ok,-3/4,+3/4,pass,1.00,
33,S,4.09B,LOW HIP PLACEMENT FROM TOP WAIST,Low hip placement from top,5 5/8,5 5/8,5 5/8,ok,0,0,unjudged,1.00,
34,S,4.10B,3 POINT LOW HIP,Three point low hip,42 1/2,42 1/2,42 1/2,ok,-3/4,+3/4,pass,1.00,
35,S,4.14A,FRONT RISE STRAIGHT TO TOP WAIST,Front rise straight to top waist,10 1/4,10 1/4,10,-1/4,-1/4,+1/4,pass,0.90,
36,S,4.15A,BACK RISE STRAIGHT TO TOP WAIST,Back rise straight to top waist,15 1/2,15 1/2,15 1/4,-1/4,-1/4,+1/4,pass,1.00,
37,S,5.08C,SHORT LEG OPENING,Short leg opening,28 1/2,28 1/2,28 1/2,ok,-3/8,+3/8,pass,1.00,
38,S,5.01A,INSEAM SHORT,Inseam short,2 1/2,2 1/2,1 1/2,-1,-1/4,+1/4,FAIL,0.56,Fraction may have been dropped in transcription
39,S,5.02A,OUTSEAM FROM TOP WAIST,Outseam from top waist,11 1/4,11,11,,-1/4,+1/4,UNCONFIRMED,0.95,
40,S,7.01A GR,FLY/J-STITCH LENGTH BELOW WAIST SEAM,Fly J-stitch length below waist seam,4 3/4,4 3/4,4 3/4,ok,-1/4,+1/4,pass,1.00,Transcribed as 4.75
41,S,7.01B,FLY /J-STITCH WIDTH,Fly J-stitch width,1 1/8,1 1/8,1 1/8,ok,-1/8,+1/8,pass,1.00,
42,S,4.27A,HEM HEIGHT,Hem height,1/2,1/2,1/2,ok,-1/8,+1/8,pass,1.00,
43,S,*,"FRT LEG DEPTH 3"" FRM CF (TOP EDGE) RELAXED",Front leg depth from center front top edge relaxed,11 1/4,11 1/4,11 1/4,,-1/8,+1/8,UNCONFIRMED,0.72,A further 'one fourth' was heard without a clear sign
44,S,*,"BK LEG DEPTH 3"" FRM CB (TOP EDGE) RELAXED",Back leg depth from center back top edge relaxed,12 1/2,12 1/2,13 1/2,+1,-1/8,+1/8,FAIL,0.57,Fraction may have been dropped in transcription
45,S,*,"SADDLE WIDTH 2"" UP FRM CROTCH - REF PT FOR NY TECH",Saddle width two inches up from crotch,8 1/4,8 1/4,8,-1/4,-1/8,+1/8,FAIL,0.62,Deviation was garbled as 'minus one backward'
46,S,*,BUTTON SPACE ON FLY FRONT,Button space on fly front,2,2,2,ok,-1/8,+1/8,pass,1.00,
47,S,7.04B,BUTTON POSITION FROM WAIST STITCH,Button position from waist seam,1 1/4,1 1/4,1 1/4,ok,-1/8,+1/8,pass,1.00,
48,S,6.05B,ON SEAM POCKET HEM HEIGHT,On-seam pocket hem height,1/4,1/4,1/4,ok,-1/8,+1/8,pass,1.00,
49,S,6.54A,POCKET POSITION FROM BELOW WAIST STITCH,Pocket position from below waist seam,1,1,1,ok,-1/8,+1/8,pass,1.00,
50,S,6.14A GR,POCKET OPENING LENGTH,Pocket opening length,5 3/4,5 3/4,5 3/4,,-1/8,+1/8,UNCONFIRMED,0.80,Following words were unclear
51,S,6.17A GR,POCKET BAG LENGTH,Pocket bag length,9,9,9,,-1/4,+1/4,UNCONFIRMED,0.62,9 was confirmed; 9 1/4 was subsequently queried but not confirmed
52,S,6.17B GR,POCKET BAG WIDTH,Pocket bag width,6,6 1/2,6 1/2,ok,-1/4,+1/4,pass,0.62,"Initially called 6 1/2, then corrected to 6"
53,M,4.05A,WAISTBAND HEIGHT,Waistband height,1 1/4,1 1/4,1 1/4,ok,-1/8,+1/8,pass,1.00,Value was repeated
54,M,4.05A,WAISTBAND ELASTIC HEIGHT,Waistband elastic height,1 3/8,1 3/8,1 3/8,ok,-1/8,+1/8,pass,1.00,
55,M,4.04A,WAIST RELAXED @ TOP EDGE,Waist relaxed at top,30 3/4,30 3/4,30 3/4,,-3/4,+3/4,UNCONFIRMED,0.50,Audio was rendered as '33 quarter; half?'
56,M,4.02A,WAIST EXTENDED @ TOP EDGE MINIMUM,Waist extended at top edge minimum,43,43,43,ok,-3/4,+3/4,pass,1.00,
57,M,4.09B,LOW HIP PLACEMENT FROM TOP WAIST,Low hip placement from top,6,6,6,ok,0,0,unjudged,1.00,
58,M,4.10B,3 POINT LOW HIP,Three point low hip,44 1/2,44 1/2,46,+1 1/2,-3/4,+3/4,FAIL,0.90,
