no,section,size,field,value,deviation,verdict,note,confidence,needs_review
1,marker,,Mini marker,52.92,,,centimeters,1.00,
2,marker,,YY on jersey,15.7,,,centimeters,1.00,
3,shrinkage,,Shell length shrinkage,1,,,percent; stated as good,1.00,
4,shrinkage,,Shell width shrinkage,0,,,percent; stated as good,1.00,
5,shrinkage,,Jersey length shrinkage,1.5,,,percent,1.00,
6,shrinkage,,Jersey width shrinkage,0,,,percent,1.00,
7,construction,,Pattern notches,,,,One notch missing at side seam,1.00,
8,bom,,Lining,,,,Single jersey instead of lining; actual,1.00,
9,bom,,Wash care,,,,Missing right now,1.00,
10,measurement,XS,Waistband height,1 1/4,,,,1.00,
11,measurement,XS,Waistband elastic height,1 3/8,,,,1.00,
12,measurement,XS,Waist relaxed at top edge,26 3/4,,,,1.00,
13,measurement,XS,Waist extended at top edge minimum,39,,,,1.00,
14,measurement,XS,Low hip placement from top waist,5 1/4,,,,1.00,
15,measurement,XS,3 point low hip,40 1/2,+1/4,,,1.00,
16,measurement,XS,Front rise straight to top waist,9 3/4,-1/4,,,1.00,
17,measurement,XS,Back rise straight to top waist,15,-1/4,,,1.00,
18,measurement,XS,Short leg opening,27,,,,1.00,
19,measurement,XS,Inseam short,2 1/2,,,,1.00,
20,measurement,XS,Outseam from top waist,10 5/8,+1/8,,Deviation stated after self-correction,0.95,
21,measurement,XS,Fly gusset length below waist seam,4 1/4,,,,1.00,
22,measurement,XS,Fly gusset width,1 1/8,+1/16,,"Speaker first said minus, then corrected to plus",0.90,
23,measurement,XS,Hem height,1/2,,,,1.00,
24,measurement,XS,Front leg depth 3 inch from center front top edge relaxed,10 7/8,,,,1.00,
25,measurement,XS,Back leg depth 3 inch from center back top edge relaxed,12 1/8,-1/8,,,1.00,
26,measurement,XS,Saddle width 2 inch up from crotch reference point,8,,,,1.00,
27,measurement,XS,Button space on fly front,1 3/4,,,,1.00,
28,measurement,XS,Button position from waist stitch,1 1/4,-1/8,,,1.00,
29,measurement,XS,On-seam pocket hem height,1/4,,,,1.00,
30,measurement,XS,Pocket position from below waist stitch,1,,,,1.00,
31,measurement,XS,Pocket opening length,5 1/2,,,,1.00,
32,measurement,XS,Pocket bag length,8 5/8,-1/4,,,1.00,
33,measurement,XS,Pocket bag width,6 1/8,,,,1.00,
34,measurement,S,Waistband height,1 1/4,,,,1.00,
35,measurement,S,Waistband elastic height,1 3/8,,,,1.00,
36,measurement,S,Waist relaxed at top edge,28 3/4,,,,1.00,
37,measurement,S,Waist extended at top edge minimum,41,,,,1.00,
38,measurement,S,Low hip placement from top waist,5 5/8,,,,1.00,
39,measurement,S,3 point low hip,42 1/2,,,,1.00,
40,measurement,S,Front rise straight to top waist,10 1/4,-1/4,,,0.90,
41,measurement,S,Back rise straight to top waist,15 1/2,-1/4,,,1.00,
42,measurement,S,Short leg opening,28 1/2,,,,1.00,
43,measurement,S,Inseam short,2 1/2,-1/8,,,1.00,
44,measurement,S,Outseam from top waist,11,+1/4,,,1.00,
45,measurement,S,Fly stitch length below waist seam,4 3/4,,,,1.00,
46,measurement,S,Fly stitch width,1 1/8,,,,1.00,
47,measurement,S,Hem height,1/2,,,,1.00,
48,measurement,S,Front leg depth 3 inch from center front top edge relaxed,11 1/4,-1/4,,,0.95,
49,measurement,S,Back leg depth 3 inch from center back top edge relaxed,12 1/2,+1/8,,,1.00,
50,measurement,S,Saddle width 2 inch up from crotch,8 1/4,-1/4,,,0.95,
51,measurement,S,Button space on fly front,2,,,,1.00,
52,measurement,S,Button position from waist stitch,1 1/4,,,,1.00,
53,measurement,S,On-seam pocket hem height,1/4,,,,1.00,
54,measurement,S,Pocket position from below waist stitch,1,,,,1.00,
55,measurement,S,Pocket opening length,5 3/4,,,,1.00,
56,measurement,S,Pocket bag length,9,-1/4,,Value repeated and confirmed; spoken as pocket back length,0.95,
57,measurement,S,Pocket bag width,6 1/2,,,Spoken as pocket back width,0.95,
58,measurement,M,Waistband height,1 1/4,,,,1.00,
59,measurement,M,Waistband elastic height,1 3/8,,,,1.00,
60,measurement,M,Waist relaxed at top edge,30 3/4,,,Spoken as 'thirty-three quarter',0.80,yes
61,measurement,M,Waist extended at top edge minimum,43,,,,1.00,
62,measurement,M,Low hip placement from top waist,6,,,,1.00,
