no,section,size,field,value,deviation,note,confidence,needs_review
1,shrinkage,,Shell average shrinkage length,1%,,,1.00,
2,shrinkage,,Shell average shrinkage width,0%,,,1.00,
3,shrinkage,,Jersey shrinkage length,1 1/2%,,,1.00,
4,shrinkage,,Jersey shrinkage width,0%,,,1.00,
5,marker,,Mini marker consumption,52.92 cm,,mini marker based on three,0.95,
6,marker,,YY on jersey,15.7 cm,,,0.95,
7,construction,,Side seam notch,,,One notch missing,1.00,
8,construction,,Lining,,,Single jersey used instead of lining; actual,1.00,
9,measurement,XS,Waistband height,1 1/4,,,1.00,
10,measurement,XS,Waistband elastic height,1 3/8,,,1.00,
11,measurement,XS,Waist relaxed at top edge,26 3/4,,,1.00,
12,measurement,XS,Waist extended at top edge minimum,39,,,1.00,
13,measurement,XS,Low hip placement from top waist,5 1/4,,,1.00,
14,measurement,XS,3 point low hip,40 1/2,+1/4,,1.00,
15,measurement,XS,Front rise straight to top waist,9 3/4,-1/4,,1.00,
16,measurement,XS,Back rise straight to top waist,15,-1/4,,1.00,
17,measurement,XS,Short leg opening,27,,,1.00,
18,measurement,XS,Inseam short,2 1/2,,,1.00,
19,measurement,XS,Outseam from top waist,10 5/8,+1/8,"Initially called okay, then corrected to plus 1/8",0.90,
20,measurement,XS,Fly gusset length below waist seam,4 1/4,,,1.00,
21,measurement,XS,Fly gusset width,1 1/8,+1/16,"Initially started to say minus, then corrected to plus",0.90,
22,measurement,XS,Hem height,1/2,,,1.00,
23,measurement,XS,Front leg depth 3 inch from center front top edge relaxed,10 7/8,,,1.00,
24,measurement,XS,Back leg depth 3 inch from center back top edge relaxed,12 1/8,-1/8,,1.00,
25,measurement,XS,Saddle width 2 inch up from crotch reference point,8,,,1.00,
26,measurement,XS,Button space on fly front,1 3/4,,,1.00,
27,measurement,XS,Button position from waist stitch,1 1/4,-1/8,,1.00,
28,measurement,XS,On-seam pocket hem height,1/4,,,1.00,
29,measurement,XS,Pocket position from below waist stitch,1,,,1.00,
30,measurement,XS,Pocket opening length,5 1/2,,,1.00,
31,measurement,XS,Pocket bag length,8 5/8,-1/4,,1.00,
32,measurement,XS,Pocket bag width,6 1/8,,,1.00,
33,measurement,S,Waistband height,1 1/4,,,1.00,
34,measurement,S,Waistband elastic height,1 3/8,,,1.00,
35,measurement,S,Waist relaxed at top edge,28 3/4,-1/2,,1.00,
36,measurement,S,Waist extended at top edge minimum,41,,,1.00,
37,measurement,S,Low hip placement from top waist,5 5/8,,,1.00,
38,measurement,S,3 point low hip,42 1/2,,,1.00,
39,measurement,S,Front rise straight to top waist,10 1/4,-1/4,Deviation added after a self-correction,0.90,
40,measurement,S,Back rise straight to top waist,15 1/2,-1/4,,1.00,
41,measurement,S,Short leg opening,28 1/2,,,1.00,
42,measurement,S,Inseam short,2 1/2,-1/8,,1.00,
43,measurement,S,Outseam from top waist,11,+1/4,,1.00,
44,measurement,S,Fly J-stitch length below waist seam,4 3/4,,,1.00,
45,measurement,S,Fly J-stitch width,1 1/8,,,1.00,
46,measurement,S,Hem height,1/2,,,0.95,
47,measurement,S,Front leg depth 3 inch from center front top edge relaxed,11 1/4,-1/4,,1.00,
48,measurement,S,Back leg depth 3 inch from center back top edge relaxed,12 1/2,+1/8,,1.00,
49,measurement,S,Saddle width 2 inch up from crotch,8 1/4,-1/4,,1.00,
50,measurement,S,Button space on fly front,2,,,1.00,
51,measurement,S,Button position from waist stitch,1 1/4,,,1.00,
52,measurement,S,On-seam pocket hem height,1/4,,,1.00,
53,measurement,S,Pocket position from below waist stitch,1,,,1.00,
54,measurement,S,Pocket opening length,5 3/4,,,1.00,
55,measurement,S,Pocket bag length,9,-1/4,Called pocket back length and reconfirmed as nine,0.90,
56,measurement,S,Pocket bag width,6 1/2,,Called pocket back width,0.90,
57,measurement,M,Waistband height,1 1/4,,,1.00,
58,measurement,M,Waistband elastic height,1 3/8,,,1.00,
59,measurement,M,Waist relaxed at top edge,30 3/4,,Spoken ambiguously as 'thirty-three quarter'; reconstructed from the graded sequence,0.62,yes
60,measurement,M,Waist extended at top edge minimum,43,,,1.00,
61,measurement,M,Low hip placement from top waist,6,,,1.00,
62,measurement,M,3 point low hip,44 1/2,,,1.00,
63,measurement,M,Front rise straight to top waist,10 3/4,,,1.00,
64,measurement,M,Back rise straight to top waist,16,,,1.00,
65,measurement,M,Short leg opening,30,,,1.00,
66,measurement,M,Inseam short,2 1/2,,,1.00,
67,measurement,M,Outseam from top waist,11 3/8,,,1.00,
68,measurement,M,Fly stitch length below waist seam,5 1/4,,,1.00,
69,measurement,M,Fly stitch width,1 1/8,,,1.00,
70,measurement,M,Hem height,1/2,,,1.00,
71,measurement,M,Front leg depth 3 inch from center front top edge relaxed,11 5/8,,,1.00,
72,measurement,M,Back leg depth 3 inch from center back top edge relaxed,12 7/8,,,1.00,
73,measurement,M,Saddle width 2 inch up from crotch,8 1/2,,,1.00,
74,measurement,M,Button space on fly front,2,,,1.00,
75,measurement,M,Button position from waist edge,1 1/4,,,1.00,
76,measurement,M,On-seam pocket hem height,1/4,,,1.00,
77,measurement,M,Pocket position from below waist edge,1,,,1.00,
78,measurement,M,Pocket bag length,9,,,1.00,
79,measurement,M,Pocket bag width,6 1/2,,,1.00,
80,comment,,Overall press,,,Press is very hard; use light press and avoid creases,1.00,
81,comment,,Main label,,,Red thread seam grinning; ensure it is not present,1.00,
82,comment,,Bottom hem,,,Broken stitch; maintain seams and prevent stitch breaking,1.00,
