no,section,size,field,value,deviation,verdict,note,confidence,needs_review
1,shrinkage,,Average shell length shrinkage,1%,,okay,Inspector said the shrinkage was good,1.00,
2,shrinkage,,Average shell width shrinkage,0%,,okay,Inspector said the shrinkage was good,1.00,
3,shrinkage,,Jersey length shrinkage,1 1/2%,,not stated,,0.90,
4,shrinkage,,Jersey width shrinkage,0%,,not stated,,0.90,
5,measurement,XS,Waistband height,1 1/4,,okay,,1.00,
6,measurement,XS,Waistband elastic height,1 3/8,,okay,,1.00,
7,measurement,XS,Waist relaxed at top,26 3/4,,okay,,1.00,
8,measurement,XS,Waist extended at top edge minimum,39,,okay,,1.00,
9,measurement,XS,Low hip placement from top,5 1/4,,not stated,,0.95,
10,measurement,XS,Three point low hip,40 1/2,+1/4,deviation,,1.00,
11,measurement,XS,Front rise straight to top waist,9 3/4,-1,deviation,Fraction may have been dropped in transcription,0.58,yes
12,measurement,XS,Back rise straight to top waist,15,-1,deviation,Fraction may have been dropped in transcription,0.58,yes
13,measurement,XS,Short leg opening,27,,okay,,1.00,
14,measurement,XS,Inseam short,2 1/2,,okay,,1.00,
15,measurement,XS,Outseam from top waist,10 5/8,+1/8,deviation,"Initially called okay, then corrected to plus 1/8",0.95,
16,measurement,XS,Fly J-stitch length below waist seam,4 1/4,,okay,,1.00,
17,measurement,XS,Fly J-stitch width,1 1/8,+1/16,deviation,"Inspector started to say minus, then corrected to plus",0.95,
18,measurement,XS,Hem height,1/2,,okay,,1.00,
19,measurement,XS,Front leg depth from center front top edge relaxed,10 7/8,,okay,,1.00,
20,measurement,XS,Back leg depth from center back top edge relaxed,12 1/8,-1/8,deviation,Deviation sounded like 'down by eight',0.62,yes
21,measurement,XS,Saddle width two inches up from crotch reference point,8,,okay,,1.00,
22,measurement,XS,Button space on fly front,1 3/4,,okay,,1.00,
23,measurement,XS,Button position from waist seam,1 1/4,-1/8,deviation,,1.00,
24,measurement,XS,On-seam pocket hem height,1/4,,okay,,0.95,
25,measurement,XS,Pocket position from below waist seam,1,,okay,,1.00,
26,measurement,XS,Pocket opening length,5 1/2,,okay,,1.00,
27,measurement,XS,Pocket bag length,8 5/8,-1/4,deviation,,1.00,
28,measurement,XS,Pocket bag width,6 1/8,,okay,,1.00,
29,measurement,S,Waistband height,1 1/4,,okay,,1.00,
30,measurement,S,Waistband elastic height,1 3/8,,okay,,1.00,
31,measurement,S,Waist relaxed at top,28 3/4,,not stated,,0.95,
32,measurement,S,Waist extended at top edge minimum,41,,okay,,1.00,
33,measurement,S,Low hip placement from top,5 5/8,,okay,,1.00,
34,measurement,S,Three point low hip,42 1/2,,okay,,1.00,
35,measurement,S,Front rise straight to top waist,10 1/4,-1/4,deviation,,0.90,
36,measurement,S,Back rise straight to top waist,15 1/2,-1/4,deviation,,1.00,
37,measurement,S,Short leg opening,28 1/2,,okay,,1.00,
38,measurement,S,Inseam short,2 1/2,-1,deviation,Fraction may have been dropped in transcription,0.56,yes
39,measurement,S,Outseam from top waist,11 1/4,,not stated,,0.95,
40,measurement,S,Fly J-stitch length below waist seam,4 3/4,,okay,Transcribed as 4.75,1.00,
41,measurement,S,Fly J-stitch width,1 1/8,,okay,,1.00,
42,measurement,S,Hem height,1/2,,okay,,1.00,
43,measurement,S,Front leg depth from center front top edge relaxed,11 1/4,,not stated,A further 'one fourth' was heard without a clear sign,0.72,yes
44,measurement,S,Back leg depth from center back top edge relaxed,12 1/2,+1,deviation,Fraction may have been dropped in transcription,0.57,yes
45,measurement,S,Saddle width two inches up from crotch,8 1/4,-1/4,deviation,Deviation was garbled as 'minus one backward',0.62,yes
46,measurement,S,Button space on fly front,2,,okay,,1.00,
47,measurement,S,Button position from waist seam,1 1/4,,okay,,1.00,
48,measurement,S,On-seam pocket hem height,1/4,,okay,,1.00,
49,measurement,S,Pocket position from below waist seam,1,,okay,,1.00,
50,measurement,S,Pocket opening length,5 3/4,,not stated,Following words were unclear,0.80,yes
51,measurement,S,Pocket bag length,9,,not stated,9 was confirmed; 9 1/4 was subsequently queried but not confirmed,0.62,yes
52,measurement,S,Pocket bag width,6,,okay,"Initially called 6 1/2, then corrected to 6",0.62,yes
53,measurement,M,Waistband height,1 1/4,,okay,Value was repeated,1.00,
54,measurement,M,Waistband elastic height,1 3/8,,okay,,1.00,
55,measurement,M,Waist relaxed at top,30 3/4,,not stated,Audio was rendered as '33 quarter; half?',0.50,yes
56,measurement,M,Waist extended at top edge minimum,43,,okay,,1.00,
57,measurement,M,Low hip placement from top,6,,okay,,1.00,
58,measurement,M,Three point low hip,44 1/2,+1 1/2,deviation,,0.90,
59,measurement,M,Front rise straight to top waist,10 3/4,,not stated,,1.00,
60,measurement,M,Back rise straight to top waist,16,-1/4,deviation,,1.00,
61,measurement,M,Short leg opening,30,-1/4,deviation,,1.00,
62,measurement,M,Inseam short,2 1/2,,okay,,1.00,
63,measurement,M,Outseam from top waist,11 3/8,,not stated,,1.00,
64,measurement,M,Fly J-stitch length below waist seam,5 1/4,,okay,,0.95,
65,measurement,M,Fly J-stitch width,1 1/8,,okay,,1.00,
66,measurement,M,Hem height,1/2,,okay,,1.00,
67,measurement,M,Front leg depth from center front top edge relaxed,11 5/8,-1/8,deviation,,1.00,
68,measurement,M,Back leg depth from center back top edge relaxed,12 7/8,,not stated,1/8 was mentioned without a clear sign,0.68,yes
69,measurement,M,Saddle width two inches up from crotch,8 1/2,,not stated,,1.00,
70,measurement,M,Button space on fly front,2,,okay,,1.00,
71,measurement,M,Button position from waist seam,1 1/4,,not stated,Following reference to 1/8 was garbled and had no clear sign,0.74,yes
72,measurement,M,On-seam pocket hem height,1/4,,not stated,,0.90,
73,measurement,M,Pocket position from below waist seam,1,,okay,,1.00,
74,measurement,M,Pocket bag length,9,-1/4,deviation,,1.00,
75,measurement,M,Pocket bag width,6 1/2,,okay,,1.00,
76,construction,,Pattern grain line,,,okay,Grain line on all patterns was fine,1.00,
77,construction,,Pattern notches,,,deviation,One notch missing at side seam,0.95,
78,construction,,Graded nest proportion,,,okay,Proportion stated as fine,1.00,
79,comment,,Hard pressing,,,deviation,Use light press and avoid creases,1.00,
80,comment,,Main label red thread,,,deviation,Ensure the red thread is not visible,0.90,
81,comment,,Broken stitch at bottom hem,,,deviation,Maintain all seams and prevent stitch breaking,1.00,
