no,section,size,field,value,deviation,verdict,note,confidence,needs_review
1,marker,,YY shell,1.45 m,,not stated,,1.00,
2,marker,,Locker loop consumption,0.003 m,,not stated,,0.90,
3,marker,,Pocket trim consumption,0.01 m,,not stated,,1.00,
4,shrinkage,,Pattern shrinkage length,1.5%,,not stated,all four colors,1.00,
5,shrinkage,,Pattern shrinkage width,+3%,,not stated,all four colors,1.00,
6,construction,,Approved PP sample overlock,,,not stated,Audio says “6th grade overlock” and calls for updated side seam and armhole with “5th grade overlock”,0.50,yes
7,comment,,Pocket shape,,,not stated,found poor; correct to spec,1.00,
8,comment,,Pocket cord,,,not stated,found tight,1.00,
9,comment,,Collar point shape,,,not stated,poor shape,1.00,
10,comment,,Tie-space shape,,,not stated,poor shape and overlapping,0.85,
11,comment,,Locker loop measurement,,,not stated,found minus,1.00,
12,comment,,Space stitch,,,not stated,"visible at cuff, placket slit and collar",0.90,
13,comment,,Body stripe,,,not stated,wavy while pocket attached,1.00,
14,comment,,Top stitch,,,not stated,uneven; placket bumping and wavy,1.00,
15,comment,,Hand feel,,,not stated,slightly harsh,1.00,
16,comment,,Plaid alignment,,,not stated,"uneven at right back yoke, placket and collar; other transcription said “placket”",0.65,yes
17,measurement,,Front length from HPS,26,,okay,,1.00,
18,measurement,,Back length from HPS,26 1/4,+1/8,deviation,,1.00,
19,measurement,,Shoulder slope from HPS,1 7/8,+1/8,deviation,,1.00,
20,measurement,,Shoulder seam forward at neck,1/2,,okay,,1.00,
21,measurement,,Shoulder seam forward at armhole,3/4,,okay,,1.00,
22,measurement,,Across shoulder seam to seam,17 3/4,+1/4,deviation,,1.00,
23,measurement,,Across front position from HPS,5,,not stated,,1.00,
24,measurement,,Across front seam to seam,16 1/4,+1/4,deviation,,1.00,
25,measurement,,Across back at yoke seam,17,+1/4,deviation,,1.00,
26,measurement,,"Chest 1 inch below armhole, pleat extended",45,+1/2,deviation,,1.00,
27,measurement,,Bottom opening straight above side seam,45,±1/8,deviation,Deviation sign was spoken ambiguously as “plus minus one by eight”,0.55,yes
28,measurement,,Front side seam height,4 3/4,+1/8,deviation,,1.00,
29,measurement,,Back side seam height,4,+1/8,deviation,,1.00,
30,measurement,,"Bottom hem height, self turn",1/4,,okay,,1.00,
31,measurement,,Sleeve length from center back long,32 1/2,-1/4,deviation,,1.00,
32,measurement,,Sleeve cap height,5 3/4,+1/4,deviation,,1.00,
33,measurement,,Armhole straight,8 7/8,,okay,,1.00,
34,measurement,,Muscle 1 inch from underarm,15 1/4,,okay,,1.00,
35,measurement,,Elbow position from cuff,13 1/4,,okay,Transcript also included the word “ten” before the value,0.80,yes
36,measurement,,Sleeve opening L/S @ H,8 1/2,,okay,,0.90,
37,measurement,,Sleeve cuff height,2 1/2,,okay,,1.00,
38,measurement,,Sleeve placket opening length,4 1/2,-1/8,deviation,,1.00,
39,measurement,,Placket width,3/4,,okay,,1.00,
40,measurement,,Front neck drop from HPS,3,+1,deviation,,0.95,
41,measurement,,Back neck drop from HPS to C,3/4,,okay,Later repeated with an unsigned 1/8 deviation,0.55,yes
42,measurement,,Back neck width seam to seam,5 3/4,-1/8,deviation,Later repeated with an unsigned 1/8 deviation,0.60,yes
43,measurement,,Neck band height at center back,1 1/8,,okay,,0.95,
44,measurement,,Collar point,2 1/4,-1/8,deviation,Word order was garbled but both value and deviation were stated,0.65,yes
45,measurement,,Collar length at outer edge,15 3/4,-1/4,deviation,,1.00,
46,measurement,,Locker loop width,3/8,-1/8,deviation,,1.00,
47,measurement,,Locker loop grade,2,,okay,,0.90,
48,measurement,,Collar height at center back,2,,okay,Value appears only in the first transcription,0.80,yes
49,measurement,,Center front placket width,1,,okay,,1.00,
50,measurement,,Button position from neck to first button,3,-1/8,deviation,Second transcription dropped “one by eight”; first transcription stated it,0.85,
51,measurement,,Button position from bottom edge,1/4,,okay,,1.00,
52,measurement,,Center back yoke box pleat width,1 1/2,,not stated,,1.00,
53,measurement,,Chest pocket length at center,5 1/4,,not stated,,0.95,
54,measurement,,Chest pocket position at top,4 1/4,,not stated,Transcribed as “four by four”,0.55,yes
55,measurement,,Pocket position from HPS,8 3/4,,okay,Present clearly only in the first transcription,0.80,yes
56,measurement,,Pocket position from front,1 1/8,,not stated,Field wording was truncated to “front”,0.60,yes
