no,size,pom,description,spoken_as,heard,spec,measured,deviation,tol_minus,tol_plus,verdict,confidence,note
7,XS,4.05A,WAISTBAND HEIGHT,Waistband height,1 1/4,1 1/4,1 1/4,ok,-1/8,+1/8,pass,1.00,stated as required
8,XS,4.05A,WAISTBAND ELASTIC HEIGHT,Waistband elastic height,1 3/8,1 3/8,1 3/8,ok,-1/8,+1/8,pass,1.00,
9,XS,4.04A,WAIST RELAXED @ TOP EDGE,Waist relaxed at top edge,26 3/4,26 3/4,26 3/4,ok,-3/4,+3/4,pass,1.00,
10,XS,4.02A,WAIST EXTENDED @ TOP EDGE MINIMUM,Waist extended at top edge minimum,39,39,39,ok,-3/4,+3/4,pass,1.00,
11,XS,4.09B,LOW HIP PLACEMENT FROM TOP WAIST,Low hip placement from top waist,5 1/4,5 1/4,5 1/4,ok,0,0,unjudged,1.00,
12,XS,4.10B,3 POINT LOW HIP,3 point low hip,40 1/2,40 1/2,40 3/4,+1/4,-3/4,+3/4,pass,1.00,
13,XS,4.14A,FRONT RISE STRAIGHT TO TOP WAIST,Front rise straight to top waist,9 3/4,9 3/4,9 1/2,-1/4,-1/4,+1/4,pass,1.00,
14,XS,4.15A,BACK RISE STRAIGHT TO TOP WAIST,Back rise straight to top waist,15,15,14 3/4,-1/4,-1/4,+1/4,pass,1.00,
15,XS,5.08C,SHORT LEG OPENING,Short leg opening,27,27,27,ok,-3/8,+3/8,pass,1.00,
16,XS,5.01A,INSEAM SHORT,Inseam short,2 1/2,2 1/2,2 1/2,ok,-1/4,+1/4,pass,1.00,
17,XS,5.02A,OUTSEAM FROM TOP WAIST,Outseam from top waist,10 5/8,10 5/8,10 3/4,+1/8,-1/4,+1/4,pass,0.95,"Initially called okay, then corrected to plus 1/8"
18,XS,7.01A GR,FLY/J-STITCH LENGTH BELOW WAIST SEAM,Fly J-stitch length below waist seam,4 1/4,4 1/4,4 1/4,ok,-1/4,+1/4,pass,1.00,
19,XS,7.01B,FLY /J-STITCH WIDTH,Fly J-stitch width,1 1/8,1 1/8,1 3/16,+1/16,-1/8,+1/8,pass,0.95,"Deviation was first called minus, then corrected to plus"
20,XS,4.27A,HEM HEIGHT,Hem height,1/2,1/2,1/2,ok,-1/8,+1/8,pass,1.00,
21,XS,*,"FRT LEG DEPTH 3"" FRM CF (TOP EDGE) RELAXED",Front leg depth 3 inch from center front top edge relaxed,10 7/8,10 7/8,10 7/8,ok,-1/8,+1/8,pass,1.00,
22,XS,*,"BK LEG DEPTH 3"" FRM CB (TOP EDGE) RELAXED",Back leg depth 3 inch from center back top edge relaxed,12 1/8,12 1/8,12,-1/8,-1/8,+1/8,pass,1.00,
23,XS,*,"SADDLE WIDTH 2"" UP FRM CROTCH - REF PT FOR NY TECH",Saddle width 2 inch up from crotch reference point,8,8,8,ok,-1/8,+1/8,pass,1.00,
24,XS,*,BUTTON SPACE ON FLY FRONT,Button space on fly front,1 3/4,1 3/4,1 3/4,ok,-1/8,+1/8,pass,1.00,
25,XS,7.04B,BUTTON POSITION FROM WAIST STITCH,Button position from waist stitch,1 1/4,1 1/4,1 1/8,-1/8,-1/8,+1/8,pass,1.00,
26,XS,6.05B,ON SEAM POCKET HEM HEIGHT,On-seam pocket hem height,1/4,1/4,1/4,ok,-1/8,+1/8,pass,1.00,
27,XS,6.54A,POCKET POSITION FROM BELOW WAIST STITCH,Pocket position from below waist stitch,1,1,1,ok,-1/8,+1/8,pass,1.00,
28,XS,6.14A GR,POCKET OPENING LENGTH,Pocket opening length,5 1/2,5 1/2,5 1/2,ok,-1/8,+1/8,pass,1.00,
29,XS,6.17A GR,POCKET BAG LENGTH,Pocket bag length,8 5/8,8 5/8,8 3/8,-1/4,-1/4,+1/4,pass,1.00,
30,XS,6.17B GR,POCKET BAG WIDTH,Pocket bag width,6 1/8,6 1/8,6 1/8,ok,-1/4,+1/4,pass,1.00,
31,S,4.05A,WAISTBAND HEIGHT,Waistband height,1 1/4,1 1/4,1 1/4,,-1/8,+1/8,UNCONFIRMED,1.00,
32,S,4.05A,WAISTBAND ELASTIC HEIGHT,Waistband elastic height,1 3/8,1 3/8,1 3/8,,-1/8,+1/8,UNCONFIRMED,1.00,
33,S,4.04A,WAIST RELAXED @ TOP EDGE,Waist relaxed at top edge,28 3/4,28 3/4,28 1/4,-1/2,-3/4,+3/4,pass,1.00,
34,S,4.02A,WAIST EXTENDED @ TOP EDGE MINIMUM,Waist extended at top edge minimum,41,41,41,,-3/4,+3/4,UNCONFIRMED,1.00,
35,S,4.09B,LOW HIP PLACEMENT FROM TOP WAIST,Low hip placement from top waist,5 5/8,5 5/8,5 5/8,,0,0,UNCONFIRMED,1.00,
36,S,4.10B,3 POINT LOW HIP,3 point low hip,42 1/2,42 1/2,42 1/2,,-3/4,+3/4,UNCONFIRMED,1.00,
37,S,4.14A,FRONT RISE STRAIGHT TO TOP WAIST,Front rise straight to top waist,10 1/4,10 1/4,10,-1/4,-1/4,+1/4,pass,0.95,
38,S,4.15A,BACK RISE STRAIGHT TO TOP WAIST,Back rise straight to top waist,15 1/2,15 1/2,15 1/4,-1/4,-1/4,+1/4,pass,1.00,
39,S,5.08C,SHORT LEG OPENING,Short leg opening,28 1/2,28 1/2,28 1/2,,-3/8,+3/8,UNCONFIRMED,1.00,
40,S,5.01A,INSEAM SHORT,Inseam short,2 1/2,2 1/2,2 3/8,-1/8,-1/4,+1/4,pass,1.00,
41,S,5.02A,OUTSEAM FROM TOP WAIST,Outseam from top waist,11,11,11 1/4,+1/4,-1/4,+1/4,pass,1.00,
42,S,7.01A GR,FLY/J-STITCH LENGTH BELOW WAIST SEAM,Fly J-stitch length below waist seam,4 3/4,4 3/4,4 3/4,,-1/4,+1/4,UNCONFIRMED,1.00,
43,S,7.01B,FLY /J-STITCH WIDTH,Fly J-stitch width,1 1/8,1 1/8,1 1/8,,-1/8,+1/8,UNCONFIRMED,1.00,
44,S,4.27A,HEM HEIGHT,Hem height,1/2,1/2,1/2,,-1/8,+1/8,UNCONFIRMED,1.00,
45,S,*,"FRT LEG DEPTH 3"" FRM CF (TOP EDGE) RELAXED",Front leg depth 3 inch from center front top edge relaxed,11 1/4,11 1/4,11,-1/4,-1/8,+1/8,FAIL,1.00,
46,S,*,"BK LEG DEPTH 3"" FRM CB (TOP EDGE) RELAXED",Back leg depth 3 inch from center back top edge relaxed,12 1/2,12 1/2,12 5/8,+1/8,-1/8,+1/8,pass,1.00,
47,S,*,"SADDLE WIDTH 2"" UP FRM CROTCH - REF PT FOR NY TECH",Saddle width 2 inch up from crotch,8 1/4,8 1/4,8,-1/4,-1/8,+1/8,FAIL,1.00,
48,S,*,BUTTON SPACE ON FLY FRONT,Button space on fly front,2,2,2,ok,-1/8,+1/8,pass,1.00,
49,S,7.04B,BUTTON POSITION FROM WAIST STITCH,Button position from waist stitch,1 1/4,1 1/4,1 1/4,ok,-1/8,+1/8,pass,1.00,
50,S,6.05B,ON SEAM POCKET HEM HEIGHT,On-seam pocket hem height,1/4,1/4,1/4,ok,-1/8,+1/8,pass,1.00,
51,S,6.54A,POCKET POSITION FROM BELOW WAIST STITCH,Pocket position from below waist stitch,1,1,1,ok,-1/8,+1/8,pass,1.00,
52,S,6.14A GR,POCKET OPENING LENGTH,Pocket opening length,5 3/4,5 3/4,5 7/8,+1/8,-1/8,+1/8,pass,1.00,
53,S,6.17A GR,POCKET BAG LENGTH,Pocket bag length,9,9,8 3/4,-1/4,-1/4,+1/4,pass,0.95,Spoken as pocket back length; value repeated and confirmed
54,S,6.17B GR,POCKET BAG WIDTH,Pocket bag width,6 1/2,6 1/2,6 1/2,ok,-1/4,+1/4,pass,0.95,Spoken as pocket back width
55,M,4.05A,WAISTBAND HEIGHT,Waistband height,1 1/4,1 1/4,1 1/4,ok,-1/8,+1/8,pass,1.00,Value repeated and confirmed
56,M,4.05A,WAISTBAND ELASTIC HEIGHT,Waistband elastic height,1 3/8,1 3/8,1 3/8,ok,-1/8,+1/8,pass,1.00,
57,M,4.04A,WAIST RELAXED @ TOP EDGE,Waist relaxed at top edge,30 3/4,30 3/4,30 1/4,-1/2,-3/4,+3/4,pass,0.95,
58,M,4.02A,WAIST EXTENDED @ TOP EDGE MINIMUM,Waist extended at top edge minimum,43,43,43,ok,-3/4,+3/4,pass,1.00,
59,M,4.09B,LOW HIP PLACEMENT FROM TOP WAIST,Low hip placement from top waist,6,6,6,ok,0,0,unjudged,1.00,
60,M,4.10B,3 POINT LOW HIP,3 point low hip,44 1/2,44 1/2,44,-1/2,-3/4,+3/4,pass,1.00,
61,M,4.14A,FRONT RISE STRAIGHT TO TOP WAIST,Front rise straight to top waist,10 3/4,10 3/4,10 1/2,-1/4,-1/4,+1/4,pass,1.00,
62,M,4.15A,BACK RISE STRAIGHT TO TOP WAIST,Back rise straight to top waist,16,16,15 3/4,-1/4,-1/4,+1/4,pass,1.00,
63,M,5.08C,SHORT LEG OPENING,Short leg opening,30,30,29 3/4,-1/4,-3/8,+3/8,pass,1.00,
64,M,5.01A,INSEAM SHORT,Inseam short,2 1/2,2 1/2,2 1/2,ok,-1/4,+1/4,pass,1.00,
65,M,5.02A,OUTSEAM FROM TOP WAIST,Outseam from top waist,11 3/8,11 3/8,11 3/8,ok,-1/4,+1/4,pass,1.00,
66,M,7.01A GR,FLY/J-STITCH LENGTH BELOW WAIST SEAM,Fly J-stitch length below waist seam,5 1/4,5 1/4,5 1/4,ok,-1/4,+1/4,pass,1.00,
67,M,7.01B,FLY /J-STITCH WIDTH,Fly J-stitch width,1 1/8,1 1/8,1 1/8,ok,-1/8,+1/8,pass,1.00,
68,M,4.27A,HEM HEIGHT,Hem height,1/2,1/2,1/2,ok,-1/8,+1/8,pass,1.00,
69,M,*,"FRT LEG DEPTH 3"" FRM CF (TOP EDGE) RELAXED",Front leg depth 3 inch from center front top edge relaxed,11 5/8,11 5/8,11 1/2,-1/8,-1/8,+1/8,pass,1.00,
70,M,*,"BK LEG DEPTH 3"" FRM CB (TOP EDGE) RELAXED",Back leg depth 3 inch from center back top edge relaxed,12 7/8,12 7/8,12 3/4,-1/8,-1/8,+1/8,pass,1.00,
71,M,*,"SADDLE WIDTH 2"" UP FRM CROTCH - REF PT FOR NY TECH",Saddle width 2 inch up from crotch,8 1/2,8 1/2,8 3/8,-1/8,-1/8,+1/8,pass,1.00,
72,M,*,BUTTON SPACE ON FLY FRONT,Button space on fly front,2,2,2,ok,-1/8,+1/8,pass,1.00,
73,M,7.04B,BUTTON POSITION FROM WAIST STITCH,Button position from waist edge,1 1/4,1 1/4,1 1/8,-1/8,-1/8,+1/8,pass,1.00,
74,M,6.05B,ON SEAM POCKET HEM HEIGHT,On-seam pocket hem height,1/4,1/4,1/4,,-1/8,+1/8,UNCONFIRMED,1.00,
75,M,6.54A,POCKET POSITION FROM BELOW WAIST STITCH,Pocket position from below waist edge,1,1,1,ok,-1/8,+1/8,pass,1.00,
76,M,6.17A GR,POCKET BAG LENGTH,Pocket bag length,9,9,8 3/4,-1/4,-1/4,+1/4,pass,1.00,
77,M,6.17B GR,POCKET BAG WIDTH,Pocket bag width,6 1/2,6 1/2,6 1/2,ok,-1/4,+1/4,pass,1.00,
