no,size,pom,description,spoken_as,heard,spec,measured,deviation,tol_minus,tol_plus,verdict,confidence,note
17,S,1.01A,FRONT LENGTH FROM HPS,Front length from HPS,26,27 1/4,27 3/8,+1/8,-1/2,+1/2,pass,1.00,
18,S,1.01B,BACK LENGTH FROM HPS,Back length from HPS,26 1/4,27 1/2,27 5/8,+1/8,-1/2,+1/2,pass,1.00,
19,S,2.02A,SHOULDER SLOPE FROM HPS,Shoulder slope from HPS,1 7/8,1 7/8,2,+1/8,-1/4,+1/4,pass,1.00,
20,S,2.01A,SHOULDER SEAM FORWARD @ NECK,Shoulder seam forward at neck,1/2,1/2,1/2,ok,-1/8,+1/8,pass,1.00,
21,S,2.01B,SHOULDER SEAM FORWARD AT ARMHOLE,Shoulder seam forward at armhole,3/4,3/4,3/4,ok,-1/8,+1/8,pass,1.00,
22,S,1.20A,ACROSS SHOULDER SEAM TO SEAM,Across shoulder seam to seam,17 3/4,18 3/4,19,+1/4,-3/8,+3/8,pass,1.00,
23,S,1.22A,ACROSS FRONT POSITION,Across front position from HPS,5,5,5,ok,,,pass,0.95,
24,S,1.23A,ACROSS FRONT SEAM TO SEAM,Across front seam to seam,16 1/4,17 1/4,17 1/2,+1/4,-3/8,+3/8,pass,1.00,
25,S,1.25A,ACROSS BACK AT YOKE SEAM,Across back at yoke seam,17,18,18 1/4,+1/4,-3/8,+3/8,pass,1.00,
26,S,1.28A,"CHEST 1"" BELOW ARMHOLE-PLEAT EXTENDED","Chest one inch below armhole, pleat extended",45,49,49 1/2,+1/2,-3/4,+3/4,pass,1.00,
27,S,4.21A,BOTTOM OPENING STRAIGHT-ABOVE SHIRT TAIL,Bottom opening straight above side seam,45,49,49,,-3/4,+3/4,unjudged,0.85,Deviation spoken as plus-minus one by eight
28,S,4.20A,FRONT SHIRT TAIL HEIGHT,Front side seam height,4 3/4,4 3/4,4 7/8,+1/8,-1/8,+1/8,pass,1.00,
29,S,4.20A,BACK SHIRT TAIL HEIGHT,Back side seam height,4,4,4 1/8,+1/8,-1/8,+1/8,pass,1.00,
30,S,3.22B,BOTTOM HEM HEIGHT - SELF TURN,"Bottom hem height, self turn",1/4,1/4,1/4,ok,-1/8,+1/8,pass,1.00,
31,S,3.01A,SLEEVE LENGTH FROM CB LONG,Sleeve length from center back long,32 1/2,33 1/2,33 1/4,-1/4,-3/8,+3/8,pass,1.00,
32,S,3.05A,SLEEVE CAP HEIGHT,Sleeve cap height,5 3/4,6 1/4,6 1/2,+1/4,-1/4,+1/4,pass,1.00,
33,S,3.06B,ARMHOLE STRAIGHT,Armhole straight,8 7/8,9 5/8,9 5/8,ok,-3/8,+3/8,pass,1.00,
34,S,3.13A,"MUSCLE 1"" FROM UNDERARM",Muscles one inch from underarm,15 1/4,16 3/4,16 3/4,ok,-1/4,+1/4,pass,1.00,
35,S,3.14B,ELBOW POSITION FROM CUFF EDGE,Elbow position from cuff,13 1/4,10,10,ok,0,0,unjudged,0.80,Speaker also said “ten” before confirming required measurement
