no,size,pom,description,spoken_as,spec,measured,deviation,tol_minus,tol_plus,verdict,confidence,note
17,S,1.01A,FRONT LENGTH FROM HPS,Front length from HPS,27 1/4,26,-1 1/4,-1/2,+1/2,FAIL,1.00,
18,S,1.01B,BACK LENGTH FROM HPS,Back length from HPS,27 1/2,26 1/4,-1 1/4,-1/2,+1/2,FAIL,1.00,
19,S,2.02A,SHOULDER SLOPE FROM HPS,Shoulder slope from HPS,1 7/8,1 7/8,0,-1/4,+1/4,pass,1.00,
20,S,2.01A,SHOULDER SEAM FORWARD @ NECK,Shoulder seam forward at neck,1/2,1/2,0,-1/8,+1/8,pass,1.00,Okay
21,S,2.01B,SHOULDER SEAM FORWARD AT ARMHOLE,Shoulder seam forward at armhole,3/4,3/4,0,-1/8,+1/8,pass,1.00,Okay
22,S,1.20A,ACROSS SHOULDER SEAM TO SEAM,Across shoulder seam to seam,18 3/4,17 3/4,-1,-3/8,+3/8,FAIL,1.00,
23,S,1.22A,ACROSS FRONT POSITION,Across front position from HPS,5,5,0,,,pass,0.90,
24,S,1.23A,ACROSS FRONT SEAM TO SEAM,Across front seam to seam,17 1/4,16 1/4,-1,-3/8,+3/8,FAIL,1.00,
25,S,1.25A,ACROSS BACK AT YOKE SEAM,Across back at yoke seam,18,17,-1,-3/8,+3/8,FAIL,1.00,
26,S,1.28A,"CHEST 1"" BELOW ARMHOLE-PLEAT EXTENDED","Chest one inch below armhole, pleat extended",49,45,-4,-3/4,+3/4,FAIL,1.00,
27,S,4.21A,BOTTOM OPENING STRAIGHT-ABOVE SHIRT TAIL,Bottom opening straight above side seam,49,45,-4,-3/4,+3/4,FAIL,0.82,Deviation spoken as plus-minus 1/8
28,S,4.20A,FRONT SHIRT TAIL HEIGHT,Front side seam height,4 3/4,4 3/4,0,-1/8,+1/8,pass,1.00,
29,S,4.20A,BACK SHIRT TAIL HEIGHT,Back side seam height,4,4,0,-1/8,+1/8,pass,1.00,
30,S,3.22B,BOTTOM HEM HEIGHT - SELF TURN,"Bottom hem height, self turn",1/4,1/4,0,-1/8,+1/8,pass,1.00,Okay
31,S,3.01A,SLEEVE LENGTH FROM CB LONG,Sleeve length from center back long,33 1/2,32 1/2,-1,-3/8,+3/8,FAIL,1.00,
32,S,3.05A,SLEEVE CAP HEIGHT,Sleeve cap height,6 1/4,5 3/4,-1/2,-1/4,+1/4,FAIL,1.00,
33,S,3.06B,ARMHOLE STRAIGHT,Armhole straight,9 5/8,8 7/8,-3/4,-3/8,+3/8,FAIL,1.00,Okay
34,S,3.13A,"MUSCLE 1"" FROM UNDERARM",Muscles one inch from underarm,16 3/4,15 1/4,-1 1/2,-1/4,+1/4,FAIL,1.00,Okay
35,S,3.14B,ELBOW POSITION FROM CUFF EDGE,Elbow position from cuff,10,13 1/4,+3 1/4,0,0,unjudged,0.76,Okay; word 'ten' also heard before elbow
36,S,3.19A,SLEEVE OPENING (L/S) @ EDGE,"Sleeve opening, L oblique S at H",9 1/2,8 1/2,-1,-1/4,+1/4,FAIL,0.84,Okay
37,S,3.22A,SLEEVE CUFF HEIGHT,Sleeve cuff height,2 1/2,2 1/2,0,-1/8,+1/8,pass,1.00,Okay
38,S,3.24A,SLEEVE PLACKET OPENING LENGTH,Sleeve placket opening length,4 1/2,4 1/2,0,-1/8,+1/8,pass,1.00,
39,S,3.24C,SLEEVE PLACKET WIDTH,Placket width,3/4,3/4,0,-1/8,+1/8,pass,1.00,Okay
40,S,2.03A,FRONT NECK DROP FROM HPS TO SEAM,Front neck drop from HPS,4,3,-1,-1/8,+1/8,FAIL,0.90,
